date,open,high,low,close,volume,shortEma,longEma
2017-09-19 12:37,4399000,4399000,4395000,4395000,21968.19729206,4397444.44,4371571.43
2017-09-19 14:11,4396000,4397000,4377000,4377000,21816.37153892,4395333.33,4384428.57
2017-09-19 17:16,4397000,4397000,4365000,4365000,19997.73380942,4391666.67,4396761.9
2017-09-19 17:20,4397000,4397000,4361000,4361000,19987.16311469,4361000,4361000
2017-09-19 17:23,4397000,4397000,4361000,4362000,19957.23700423,4362000,4362000
2017-09-19 17:26,4365000,4367000,4361000,4367000,19904.72302968,4367000,4367000
2017-09-19 17:29,4362000,4376000,4362000,4375000,19900.4400068,4375000,4375000
2017-09-19 17:31,4366000,4391000,4366000,4391000,19870.04143395,4391000,4391000
2017-09-19 17:35,4375000,4392000,4375000,4386000,19820.14863878,4384466.67,4384466.67
2017-09-19 17:38,4391000,4392000,4378000,4386000,19771.91056063,4383666.67,4383666.67
2017-09-19 17:41,4387000,4387000,4378000,4386000,19742.6432081,4382466.67,4382466.67
2017-09-19 17:43,4386000,4392000,4384000,4392000,19705.42294982,4382200,4391266.67
2017-09-19 17:44,4387000,4392000,4384000,4389000,19705.91950197,4389000,4390433.33
2017-09-19 17:47,4386000,4398000,4385000,4398000,19669.65118002,4398000,4390200
2017-09-19 17:50,4389000,4399000,4389000,4395000,19667.66737301,4395000,4390000
2017-09-19 17:53,4395000,4399000,4390000,4391000,19650.8332476,4391000,4389666.67
2017-09-19 17:56,4395000,4395000,4384000,4384000,19669.92801932,4384000,4389133.33
2017-09-19 17:59,4391000,4391000,4381000,4382000,19660.25806243,4390933.33,4388500
2017-09-19 18:02,4384000,4389000,4375000,4377000,19645.56417859,4389533.33,4387700
2017-09-19 18:05,4381000,4382000,4370000,4370000,19586.84133986,4387266.67,4386700
2017-09-19 18:08,4376000,4377000,4367000,4376000,19510.97516667,4385933.33,4386100
2017-09-19 18:11,4370000,4377000,4367000,4372000,19408.2630296,4384266.67,4385300
2017-09-19 18:14,4376000,4377000,4371000,4376000,19373.92815638,4382866.67,4384633.33
2017-09-19 18:17,4374000,4387000,4371000,4387000,19345.70097952,4382266.67,4384266.67
2017-09-19 18:20,4375000,4387000,4375000,4380000,19324.57659204,4381266.67,4383666.67
2017-09-19 18:23,4380000,4387000,4377000,4378000,19310.45732659,4381333.33,4382800
2017-09-19 18:26,4380000,4380000,4377000,4379000,19284.92043435,4382266.67,4382233.33
2017-09-19 18:29,4378000,4381000,4377000,4381000,19276.5666879,4381733.33,4381700
2017-09-19 18:32,4377000,4381000,4372000,4374000,19268.70235654,4380133.33,4380933.33
2017-09-19 18:35,4381000,4381000,4372000,4375000,19260.07847901,4378800,4380233.33
2017-09-19 18:38,4374000,4381000,4373000,4381000,19211.70765239,4378133.33,4379766.67
2017-09-19 18:41,4375000,4388000,4375000,4387000,19195.86854948,4378333.33,4380100
2017-09-19 18:44,4381000,4388000,4381000,4381000,19185.16052877,4378266.67,4380633.33
2017-09-19 18:47,4386000,4387000,4381000,4382000,19178.78496624,4378600,4381333.33
2017-09-19 18:50,4381000,4384000,4380000,4381000,19134.14428474,4379333.33,4381966.67
2017-09-19 18:53,4382000,4385000,4380000,4385000,19092.63671413,4379933.33,4382566.67
2017-09-19 18:56,4381000,4394000,4381000,4394000,19082.44538931,4381400,4383200
2017-09-19 18:59,4383000,4408000,4383000,4408000,19104.47745853,4383533.33,4383766.67
2017-09-19 19:02,4392000,4410000,4392000,4410000,19109.36230218,4385066.67,4384566.67
2017-09-19 19:05,4408000,4418000,4406000,4418000,19100.71430042,4387600,4385633.33
2017-09-19 19:08,4410000,4418000,4410000,4416000,19118.12884856,4390133.33,4386633.33
2017-09-19 19:11,4417000,4418000,4411000,4411000,19136.88132449,4392266.67,4387266.67
2017-09-19 19:14,4416000,4416000,4411000,4412000,19128.16367377,4394333.33,4388033.33
2017-09-19 19:17,4411000,4416000,4411000,4413000,19124.28637044,4396933.33,4388533.33
2017-09-19 19:20,4412000,4416000,4412000,4412000,19091.66217638,4399400,4389100
2017-09-19 19:23,4415000,4415000,4410000,4412000,19091.27153582,4401466.67,4389800
2017-09-19 19:26,4412000,4416000,4410000,4412000,19046.21735783,4403133.33,4390733.33
2017-09-19 19:29,4411000,4416000,4410000,4410000,18969.4661324,4405066.67,4391666.67
2017-09-19 19:32,4412000,4413000,4409000,4409000,18943.40546779,4406866.67,4392733.33
2017-09-19 19:35,4410000,4413000,4408000,4409000,18920.10448404,4408733.33,4394033.33
2017-09-19 19:38,4410000,4412000,4408000,4409000,18906.05843631,4410333.33,4395133.33
2017-09-19 19:41,4408000,4412000,4408000,4410000,18872.38427975,4411400,4396400
2017-09-19 19:42,4412000,4412000,4409000,4411000,18876.32193149,4411600,4397566.67
2017-09-19 19:43,4412000,4412000,4409000,4410000,18869.22170394,4411600,4398333.33
2017-09-19 19:46,4409000,4421000,4409000,4421000,18892.18010776,4411800,4399700
2017-09-19 19:48,4410000,4449000,4410000,4445000,18940.00973158,4413733.33,4401933.33
2017-09-19 19:51,4412000,4449000,4412000,4427000,18934.11719708,4414800,4403533.33
2017-09-19 19:54,4449000,4449000,4422000,4438000,18960.42579871,4416533.33,4405433.33
2017-09-19 19:57,4443000,4447000,4422000,4447000,18979.57658473,4418800,4407866.67
2017-09-19 19:59,4439000,4450000,4434000,4450000,18922.8872219,4421333.33,4410366.67
2017-09-19 20:03,4447000,4459000,4446000,4456000,18923.68202443,4424266.67,4412866.67
2017-09-19 20:06,4450000,4459000,4450000,4455000,18927.42349637,4427133.33,4415133.33
2017-09-19 20:09,4459000,4459000,4440000,4448000,18934.58437057,4429666.67,4417366.67
2017-09-19 20:12,4455000,4455000,4440000,4441000,18884.48629891,4431800,4419333.33
2017-09-19 20:15,4448000,4450000,4430000,4446000,18831.04624818,4434266.67,4421500
2017-09-19 20:18,4441000,4446000,4430000,4444000,18720.63735938,4436600,4423466.67
2017-09-19 20:21,4441000,4446000,4440000,4440000,18670.35471313,4438600,4425000
2017-09-19 20:24,4443000,4451000,4440000,4451000,18670.23656886,4441266.67,4426433.33
2017-09-19 20:26,4442000,4454000,4440000,4448000,18651.02803158,4443800,4427700
2017-09-19 20:30,4451000,4454000,4436000,4437000,18635.62466,4444866.67,4428333.33
2017-09-19 20:33,4448000,4450000,4420000,4425000,18643.87598135,4443533.33,4428633.33
2017-09-19 20:36,4439000,4439000,4418000,4418000,18653.69318921,4442933.33,4428866.67
2017-09-19 20:38,4424000,4425000,4407000,4416000,18631.55665498,4441466.67,4429000
